	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ENSDARG00000089124	0	4.88497648713462	0.96	0.048	0	10	ENSDARG00000089124
ENSDARG00000011166	0	3.2102333771065	0.898	0.033	0	10	ENSDARG00000011166
ENSDARG00000015551	0	2.86253113460631	0.956	0.558	0	10	ENSDARG00000015551
ENSDARG00000045142	0	2.74667291830289	0.652	0.004	0	10	ENSDARG00000045142
ENSDARG00000092945	0	2.47167937940457	0.743	0.003	0	10	ENSDARG00000092945
ENSDARG00000025350	0	2.27150880428118	0.95	0.457	0	10	ENSDARG00000025350
ENSDARG00000096829	0	2.1831967821703	0.741	0.043	0	10	ENSDARG00000096829
ENSDARG00000101362	0	2.14281622847421	0.812	0.057	0	10	ENSDARG00000101362
ENSDARG00000018146	0	2.10199485521689	0.804	0.095	0	10	ENSDARG00000018146
ENSDARG00000096667	0	2.09949198535676	0.675	0.004	0	10	ENSDARG00000096667
ENSDARG00000077504	0	2.00916180420751	0.238	0.002	0	10	ENSDARG00000077504
ENSDARG00000034852	0	1.94371046243004	0.639	0.006	0	10	ENSDARG00000034852
ENSDARG00000092806	0	1.8180597464569	0.27	0.004	0	10	ENSDARG00000092806
ENSDARG00000012881	0	1.72145661293497	0.476	0.004	0	10	ENSDARG00000012881
ENSDARG00000026655	0	1.70200465891218	0.765	0.162	0	10	ENSDARG00000026655
ENSDARG00000095304	0	1.70077397976757	0.45	0.002	0	10	ENSDARG00000095304
ENSDARG00000038643	0	1.69141293712313	0.529	0.002	0	10	ENSDARG00000038643
ENSDARG00000018461	0	1.63294119870802	0.68	0.082	0	10	ENSDARG00000018461
ENSDARG00000093877	0	1.55167637280991	0.298	0.006	0	10	ENSDARG00000093877
ENSDARG00000003207	0	1.54842828116232	0.39	0.035	0	10	ENSDARG00000003207
ENSDARG00000094408	0	1.48632782443075	0.278	0.005	0	10	ENSDARG00000094408
ENSDARG00000045144	0	1.33058892324069	0.408	0.001	0	10	ENSDARG00000045144
ENSDARG00000095019	0	1.29836198314985	0.451	0.012	0	10	ENSDARG00000095019
